Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Percent; Estimate; All households,Percent; Margin of Error; All households,Limited English-speaking households; Estimate; All households,Limited English-speaking households; Margin of Error; All households,Percent limited English-speaking households; Estimate; All households,Percent limited English-speaking households; Margin of Error; All households,Total; Estimate; Households speaking -- - Spanish,Total; Margin of Error; Households speaking -- - Spanish,Percent; Estimate; Households speaking -- - Spanish,Percent; Margin of Error; Households speaking -- - Spanish,Limited English-speaking households; Estimate; Households speaking -- - Spanish,Limited English-speaking households; Margin of Error; Households speaking -- - Spanish,Percent limited English-speaking households; Estimate; Households speaking -- - Spanish,Percent limited English-speaking households; Margin of Error; Households speaking -- - Spanish,Total; Estimate; Households speaking -- - Other Indo-European languages,Total; Margin of Error; Households speaking -- - Other Indo-European languages,Percent; Estimate; Households speaking -- - Other Indo-European languages,Percent; Margin of Error; Households speaking -- - Other Indo-European languages,Limited English-speaking households; Estimate; Households speaking -- - Other Indo-European languages,Limited English-speaking households; Margin of Error; Households speaking -- - Other Indo-European languages,Percent limited English-speaking households; Estimate; Households speaking -- - Other Indo-European languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Other Indo-European languages,Total; Estimate; Households speaking -- - Asian and Pacific Island languages,Total; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Percent; Estimate; Households speaking -- - Asian and Pacific Island languages,Percent; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Limited English-speaking households; Estimate; Households speaking -- - Asian and Pacific Island languages,Limited English-speaking households; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Percent limited English-speaking households; Estimate; Households speaking -- - Asian and Pacific Island languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Total; Estimate; Households speaking -- - Other languages,Total; Margin of Error; Households speaking -- - Other languages,Percent; Estimate; Households speaking -- - Other languages,Percent; Margin of Error; Households speaking -- - Other languages,Limited English-speaking households; Estimate; Households speaking -- - Other languages,Limited English-speaking households; Margin of Error; Households speaking -- - Other languages,Percent limited English-speaking households; Estimate; Households speaking -- - Other languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Other languages
0600000US3600101000,3600101000,"Albany city, Albany County, New York",41245,760,(X),(X),1457,259,3.5,0.6,2134,249,5.2,0.6,296,120,13.9,5.4,2305,323,5.6,0.8,429,145,18.6,5.8,1607,225,3.9,0.5,645,139,40.1,7.3,542,164,1.3,0.4,87,65,16.1,11.4
0600000US3600106211,3600106211,"Berne town, Albany County, New York",1109,50,(X),(X),8,9,0.7,0.8,10,11,0.9,1,4,6,40,59.4,22,17,2,1.5,4,6,18.2,27.6,6,9,0.5,0.8,0,11,0,100,0,11,0,2.7,0,11,-,**
0600000US3600106354,3600106354,"Bethlehem town, Albany County, New York",13729,314,(X),(X),174,94,1.3,0.7,148,71,1.1,0.5,17,28,11.5,17.9,705,160,5.1,1.2,78,65,11.1,8.7,324,105,2.4,0.8,79,51,24.4,14.6,46,42,0.3,0.3,0,24,0,42
0600000US3600116694,3600116694,"Coeymans town, Albany County, New York",3053,132,(X),(X),0,16,0,1,43,38,1.4,1.2,0,16,0,43.5,80,48,2.6,1.6,0,16,0,30.3,6,11,0.2,0.4,0,16,0,100,0,16,0,1,0,16,-,**
0600000US3600116749,3600116749,"Cohoes city, Albany County, New York",7456,278,(X),(X),60,55,0.8,0.7,216,115,2.9,1.5,33,48,15.3,20.3,277,102,3.7,1.4,21,21,7.6,7.6,30,27,0.4,0.4,0,18,0,52,16,18,0.2,0.2,6,11,37.5,62.5
0600000US3600117343,3600117343,"Colonie town, Albany County, New York",32317,573,(X),(X),810,216,2.5,0.7,871,202,2.7,0.6,108,86,12.4,9,2544,322,7.9,1,329,116,12.9,4.1,1260,194,3.9,0.6,334,157,26.5,10.4,447,185,1.4,0.6,39,32,8.7,7.5
0600000US3600130532,3600130532,"Green Island town, Albany County, New York",1206,96,(X),(X),27,33,2.2,2.8,48,53,4,4.4,0,11,0,41.1,35,28,2.9,2.4,0,11,0,48.2,27,33,2.2,2.8,27,33,100,54.8,0,11,0,2.5,0,11,-,**
0600000US3600131104,3600131104,"Guilderland town, Albany County, New York",14296,335,(X),(X),234,102,1.6,0.7,352,119,2.5,0.8,24,34,6.8,9.2,693,143,4.8,1,89,53,12.8,7.2,568,135,4,1,121,64,21.3,8.9,108,63,0.8,0.4,0,24,0,23.9
0600000US3600140002,3600140002,"Knox town, Albany County, New York",981,80,(X),(X),4,7,0.4,0.7,4,8,0.4,0.8,0,11,0,100,45,31,4.6,3.2,4,7,8.9,15.8,0,11,0,3,0,11,-,**,5,7,0.5,0.7,0,11,0,100
0600000US3600150672,3600150672,"New Scotland town, Albany County, New York",3348,139,(X),(X),11,12,0.3,0.4,108,47,3.2,1.4,0,16,0,23.9,143,45,4.3,1.4,5,8,3.5,6,41,43,1.2,1.3,6,10,14.6,28.3,5,7,0.1,0.2,0,16,0,100
0600000US3600161181,3600161181,"Rensselaerville town, Albany County, New York",727,70,(X),(X),18,11,2.5,1.5,10,7,1.4,1,3,4,30,37.8,38,16,5.2,2.2,15,10,39.5,23.1,0,11,0,4,0,11,-,**,3,7,0.4,0.9,0,11,0,100
0600000US3600178674,3600178674,"Watervliet city, Albany County, New York",4586,226,(X),(X),175,114,3.8,2.5,164,94,3.6,2,25,37,15.2,23.3,278,125,6.1,2.7,127,98,45.7,21.5,53,48,1.2,1,23,36,43.4,50.5,13,22,0.3,0.5,0,18,0,79
0600000US3600179851,3600179851,"Westerlo town, Albany County, New York",1323,105,(X),(X),10,16,0.8,1.2,24,23,1.8,1.7,0,11,0,58.2,44,30,3.3,2.3,0,11,0,43,10,16,0.8,1.2,10,16,100,90.1,0,11,0,2.2,0,11,-,**
0600000US3600301209,3600301209,"Alfred town, Allegany County, New York",719,197,(X),(X),16,15,2.2,2,2,3,0.3,0.4,0,16,0,100,48,22,6.7,3,2,4,4.2,8.2,49,25,6.8,3.5,14,14,28.6,22.2,4,5,0.6,0.7,0,16,0,100
0600000US3600301319,3600301319,"Allen town, Allegany County, New York",189,36,(X),(X),6,4,3.2,2.4,0,11,0,14.6,0,11,-,**,30,17,15.9,8.5,6,4,20,16.2,0,11,0,14.6,0,11,-,**,0,11,0,14.6,0,11,-,**
0600000US3600301429,3600301429,"Alma town, Allegany County, New York",335,51,(X),(X),0,11,0,8.6,2,3,0.6,0.9,0,11,0,100,0,11,0,8.6,0,11,-,**,8,12,2.4,3.5,0,11,0,100,0,11,0,8.6,0,11,-,**
0600000US3600301451,3600301451,"Almond town, Allegany County, New York",622,66,(X),(X),6,7,1,1.2,5,5,0.8,0.8,0,11,0,100,12,9,1.9,1.4,6,7,50,48.5,6,6,1,0.9,0,11,0,100,2,6,0.3,1,0,11,0,100
0600000US3600302011,3600302011,"Amity town, Allegany County, New York",930,91,(X),(X),0,11,0,3.2,14,10,1.5,1.1,0,11,0,76.1,3,6,0.3,0.6,0,11,0,100,5,8,0.5,0.8,0,11,0,100,2,5,0.2,0.6,0,11,0,100
0600000US3600302154,3600302154,"Andover town, Allegany County, New York",718,80,(X),(X),0,11,0,4.1,4,6,0.6,0.8,0,11,0,100,9,11,1.3,1.5,0,11,0,95,0,11,0,4.1,0,11,-,**,0,11,0,4.1,0,11,-,**
0600000US3600302187,3600302187,"Angelica town, Allegany County, New York",566,53,(X),(X),8,10,1.4,1.7,6,6,1.1,1,0,11,0,100,3,5,0.5,1,0,11,0,100,11,10,1.9,1.8,8,10,72.7,43.7,0,11,0,5.2,0,11,-,**
0600000US3600305573,3600305573,"Belfast town, Allegany County, New York",724,95,(X),(X),12,19,1.7,2.6,10,7,1.4,1,0,11,0,90.1,95,49,13.1,6.2,12,19,12.6,20.3,0,11,0,4.1,0,11,-,**,0,11,0,4.1,0,11,-,**
0600000US3600306717,3600306717,"Birdsall town, Allegany County, New York",82,28,(X),(X),0,11,0,29.7,0,11,0,29.7,0,11,-,**,0,11,0,29.7,0,11,-,**,0,11,0,29.7,0,11,-,**,0,11,0,29.7,0,11,-,**
0600000US3600307201,3600307201,"Bolivar town, Allegany County, New York",849,79,(X),(X),0,11,0,3.5,26,29,3.1,3.3,0,11,0,55.9,8,7,0.9,0.8,0,11,0,100,0,11,0,3.5,0,11,-,**,0,11,0,3.5,0,11,-,**
0600000US3600311253,3600311253,"Burns town, Allegany County, New York",506,78,(X),(X),0,11,0,5.8,11,11,2.2,2.2,0,11,0,85.9,7,6,1.4,1.3,0,11,0,100,9,7,1.8,1.4,0,11,0,95,0,11,0,5.8,0,11,-,**
0600000US3600312243,3600312243,"Caneadea town, Allegany County, New York",613,63,(X),(X),0,11,0,4.8,3,4,0.5,0.7,0,11,0,100,22,17,3.6,2.7,0,11,0,60.7,29,24,4.7,3.8,0,11,0,52.9,0,11,0,4.8,0,11,-,**
0600000US3600313475,3600313475,"Centerville town, Allegany County, New York",280,48,(X),(X),12,8,4.3,2.8,0,11,0,10.2,0,11,-,**,21,10,7.5,3.7,12,8,57.1,27.4,0,11,0,10.2,0,11,-,**,0,11,0,10.2,0,11,-,**
0600000US3600315990,3600315990,"Clarksville town, Allegany County, New York",422,67,(X),(X),0,11,0,6.9,3,4,0.7,0.9,0,11,0,100,13,14,3.1,3.3,0,11,0,79,0,11,0,6.9,0,11,-,**,0,11,0,6.9,0,11,-,**
0600000US3600319367,3600319367,"Cuba town, Allegany County, New York",1303,106,(X),(X),0,11,0,2.3,2,3,0.2,0.2,0,11,0,100,50,39,3.8,3.1,0,11,0,40.3,0,11,0,2.3,0,11,-,**,0,11,0,2.3,0,11,-,**
0600000US3600327705,3600327705,"Friendship town, Allegany County, New York",821,98,(X),(X),9,11,1.1,1.4,0,11,0,3.6,0,11,-,**,14,13,1.7,1.6,9,11,64.3,50.6,0,11,0,3.6,0,11,-,**,20,31,2.4,3.7,0,11,0,63.7
0600000US3600328563,3600328563,"Genesee town, Allegany County, New York",642,64,(X),(X),0,11,0,4.6,0,11,0,4.6,0,11,-,**,8,8,1.2,1.2,0,11,0,100,0,11,0,4.6,0,11,-,**,0,11,0,4.6,0,11,-,**
0600000US3600329905,3600329905,"Granger town, Allegany County, New York",252,46,(X),(X),0,11,0,11.2,2,3,0.8,1.1,0,11,0,100,10,12,4,4.8,0,11,0,90.1,0,11,0,11.2,0,11,-,**,7,10,2.8,4.1,0,11,0,100
0600000US3600330994,3600330994,"Grove town, Allegany County, New York",216,36,(X),(X),0,11,0,12.9,0,11,0,12.9,0,11,-,**,1,2,0.5,1.1,0,11,0,100,0,11,0,12.9,0,11,-,**,0,11,0,12.9,0,11,-,**
0600000US3600336112,3600336112,"Hume town, Allegany County, New York",857,79,(X),(X),7,10,0.8,1.1,5,6,0.6,0.7,0,11,0,100,49,33,5.7,3.7,0,11,0,40.7,7,10,0.8,1.1,7,10,100,100,0,11,0,3.4,0,11,-,**
0600000US3600337297,3600337297,"Independence town, Allegany County, New York",440,59,(X),(X),0,11,0,6.6,3,4,0.7,1,0,11,0,100,2,3,0.5,0.8,0,11,0,100,0,11,0,6.6,0,11,-,**,0,11,0,6.6,0,11,-,**
0600000US3600350375,3600350375,"New Hudson town, Allegany County, New York",311,44,(X),(X),5,5,1.6,1.6,1,2,0.3,0.8,0,11,0,100,14,12,4.5,3.7,5,5,35.7,40.7,2,3,0.6,1,0,11,0,100,0,11,0,9.2,0,11,-,**
0600000US3600354523,3600354523,"Oil Springs Reservation, Allegany County, New York",1,2,(X),(X),0,11,0,100,0,11,0,100,0,11,-,**,0,11,0,100,0,11,-,**,0,11,0,100,0,11,-,**,0,11,0,100,0,11,-,**
0600000US3600364166,3600364166,"Rushford town, Allegany County, New York",486,75,(X),(X),0,11,0,6,3,5,0.6,1.1,0,11,0,100,6,6,1.2,1.3,0,11,0,100,0,11,0,6,0,11,-,**,0,11,0,6,0,11,-,**
0600000US3600365772,3600365772,"Scio town, Allegany County, New York",667,80,(X),(X),0,11,0,4.4,3,5,0.4,0.7,0,11,0,100,18,16,2.7,2.3,0,11,0,67.2,0,11,0,4.4,0,11,-,**,8,9,1.2,1.4,0,11,0,100
0600000US3600378201,3600378201,"Ward town, Allegany County, New York",149,33,(X),(X),0,11,0,18.1,0,11,0,18.1,0,11,-,**,1,3,0.7,2.4,0,11,0,100,0,11,0,18.1,0,11,-,**,0,11,0,18.1,0,11,-,**
0600000US3600379103,3600379103,"Wellsville town, Allegany County, New York",3251,170,(X),(X),42,44,1.3,1.3,61,53,1.9,1.6,8,13,13.1,23.1,27,25,0.8,0.8,0,16,0,54.8,34,41,1,1.2,34,41,100,48.9,0,16,0,0.9,0,16,-,**
0600000US3600379202,3600379202,"West Almond town, Allegany County, New York",124,29,(X),(X),0,11,0,21.3,2,3,1.6,2.3,0,11,0,100,8,10,6.5,8,0,11,0,100,0,11,0,21.3,0,11,-,**,0,11,0,21.3,0,11,-,**
0600000US3600382095,3600382095,"Willing town, Allegany County, New York",589,73,(X),(X),0,11,0,5,0,11,0,5,0,11,-,**,10,11,1.7,1.8,0,11,0,90.1,0,11,0,5,0,11,-,**,0,11,0,5,0,11,-,**
0600000US3600382623,3600382623,"Wirt town, Allegany County, New York",460,62,(X),(X),0,11,0,6.3,3,6,0.7,1.4,0,11,0,100,3,5,0.7,1.1,0,11,0,100,0,11,0,6.3,0,11,-,**,0,11,0,6.3,0,11,-,**
0600000US3600508510,3600508510,"Bronx borough, Bronx County, New York",495356,1337,(X),(X),89575,1989,18.1,0.4,252028,1731,50.9,0.3,75640,1813,30,0.7,29430,1033,5.9,0.2,7468,577,25.4,1.8,7828,502,1.6,0.1,2440,273,31.2,3.1,20748,928,4.2,0.2,4027,470,19.4,2.1
0600000US3600704429,3600704429,"Barker town, Broome County, New York",1002,53,(X),(X),0,11,0,2.9,26,19,2.6,1.9,0,11,0,55.9,40,30,4,2.9,0,11,0,45.1,4,6,0.4,0.6,0,11,0,100,0,11,0,2.9,0,11,-,**
0600000US3600706607,3600706607,"Binghamton city, Broome County, New York",19974,467,(X),(X),478,134,2.4,0.7,902,188,4.5,0.9,106,46,11.8,4.9,1228,195,6.1,1,255,102,20.8,7,665,158,3.3,0.8,90,56,13.5,7.8,178,91,0.9,0.5,27,36,15.2,18
0600000US3600706618,3600706618,"Binghamton town, Broome County, New York",1870,88,(X),(X),10,12,0.5,0.7,22,19,1.2,1,0,11,0,60.7,105,47,5.6,2.5,10,12,9.5,12.2,8,10,0.4,0.5,0,11,0,100,8,7,0.4,0.4,0,11,0,100
0600000US3600715110,3600715110,"Chenango town, Broome County, New York",4359,146,(X),(X),15,19,0.3,0.4,47,35,1.1,0.8,0,18,0,41.6,168,62,3.9,1.4,8,13,4.8,7.5,42,32,1,0.7,7,13,16.7,29.4,16,19,0.4,0.4,0,18,0,71.2
0600000US3600717046,3600717046,"Colesville town, Broome County, New York",1956,218,(X),(X),0,16,0,1.5,12,20,0.6,1,0,16,0,82.3,153,121,7.8,6.2,0,16,0,17.7,0,16,0,1.5,0,16,-,**,0,16,0,1.5,0,16,-,**
0600000US3600717772,3600717772,"Conklin town, Broome County, New York",2030,121,(X),(X),43,61,2.1,3,55,69,2.7,3.3,43,61,78.2,44.7,0,16,0,1.5,0,16,-,**,0,16,0,1.5,0,16,-,**,0,16,0,1.5,0,16,-,**
0600000US3600720588,3600720588,"Dickinson town, Broome County, New York",2055,163,(X),(X),0,16,0,1.4,7,8,0.3,0.4,0,16,0,100,118,66,5.7,3,0,16,0,22.2,7,8,0.3,0.4,0,16,0,100,0,16,0,1.4,0,16,-,**
0600000US3600725604,3600725604,"Fenton town, Broome County, New York",2667,135,(X),(X),0,16,0,1.1,33,31,1.2,1.2,0,16,0,49.6,28,29,1,1.1,0,16,0,53.8,10,15,0.4,0.6,0,16,0,90.1,11,18,0.4,0.7,0,16,0,85.9
0600000US3600739837,3600739837,"Kirkwood town, Broome County, New York",2243,137,(X),(X),34,36,1.5,1.6,143,88,6.4,4,34,36,23.8,23.7,44,40,2,1.8,0,16,0,43,0,16,0,1.3,0,16,-,**,0,16,0,1.3,0,16,-,**
0600000US3600742653,3600742653,"Lisle town, Broome County, New York",972,59,(X),(X),0,11,0,3,17,13,1.7,1.3,0,11,0,69.1,8,9,0.8,0.9,0,11,0,100,0,11,0,3,0,11,-,**,0,11,0,3,0,11,-,**
0600000US3600744611,3600744611,"Maine town, Broome County, New York",2034,155,(X),(X),0,16,0,1.5,8,16,0.4,0.8,0,16,0,100,33,31,1.6,1.5,0,16,0,49.6,0,16,0,1.5,0,16,-,**,0,16,0,1.5,0,16,-,**
0600000US3600749396,3600749396,"Nanticoke town, Broome County, New York",592,52,(X),(X),0,11,0,4.9,0,11,0,4.9,0,11,-,**,3,6,0.5,1,0,11,0,100,0,11,0,4.9,0,11,-,**,0,11,0,4.9,0,11,-,**
0600000US3600765112,3600765112,"Sanford town, Broome County, New York",981,65,(X),(X),10,16,1,1.6,35,29,3.6,2.9,10,16,28.6,40.1,30,15,3.1,1.6,0,11,0,52,10,10,1,1,0,11,0,90.1,0,11,0,3,0,11,-,**
0600000US3600775319,3600775319,"Triangle town, Broome County, New York",1116,58,(X),(X),5,8,0.4,0.7,27,22,2.4,2,0,11,0,54.8,32,22,2.9,2,5,8,15.6,24.3,2,3,0.2,0.3,0,11,0,100,0,11,0,2.6,0,11,-,**
0600000US3600776056,3600776056,"Union town, Broome County, New York",24056,413,(X),(X),412,121,1.7,0.5,630,161,2.6,0.7,61,47,9.7,7.1,1046,169,4.3,0.7,181,77,17.3,6.6,580,118,2.4,0.5,125,69,21.6,10.8,157,92,0.7,0.4,45,53,28.7,29.5
0600000US3600777255,3600777255,"Vestal town, Broome County, New York",8659,299,(X),(X),229,90,2.6,1,346,133,4,1.6,14,22,4,6.3,608,150,7,1.7,41,38,6.7,6.5,490,135,5.7,1.6,154,78,31.4,13.5,86,62,1,0.7,20,31,23.3,32.3
0600000US3600782535,3600782535,"Windsor town, Broome County, New York",2255,191,(X),(X),33,36,1.5,1.6,21,25,0.9,1.1,0,16,0,62.2,61,45,2.7,2,33,36,54.1,38.3,0,16,0,1.3,0,16,-,**,2,4,0.1,0.2,0,16,0,100
0600000US3600901297,3600901297,"Allegany town, Cattaraugus County, New York",2781,148,(X),(X),13,9,0.5,0.3,19,19,0.7,0.7,0,16,0,65.4,45,26,1.6,0.9,4,6,8.9,15.9,29,22,1,0.8,9,8,31,22.4,0,16,0,1.1,0,16,-,**
0600000US3600901308,3600901308,"Allegany Reservation, Cattaraugus County, New York",391,44,(X),(X),5,7,1.3,1.8,0,11,0,7.4,0,11,-,**,0,11,0,7.4,0,11,-,**,0,11,0,7.4,0,11,-,**,51,21,13,5.1,5,7,9.8,13.4
0600000US3600902759,3600902759,"Ashford town, Cattaraugus County, New York",895,97,(X),(X),5,7,0.6,0.8,16,15,1.8,1.7,0,11,0,71.2,16,13,1.8,1.5,0,11,0,71.2,0,11,0,3.3,0,11,-,**,5,7,0.6,0.8,5,7,100,100
0600000US3600912661,3600912661,"Carrollton town, Cattaraugus County, New York",598,62,(X),(X),0,11,0,4.9,11,10,1.8,1.7,0,11,0,85.9,12,13,2,2.2,0,11,0,82.3,0,11,0,4.9,0,11,-,**,0,11,0,4.9,0,11,-,**
0600000US3600913035,3600913035,"Cattaraugus Reservation, Cattaraugus County, New York",105,24,(X),(X),10,16,9.5,15.1,0,11,0,24.5,0,11,-,**,0,11,0,24.5,0,11,-,**,18,19,17.1,17.1,10,16,55.6,55.6,19,22,18.1,20.8,0,11,0,65.4
0600000US3600916903,3600916903,"Coldspring town, Cattaraugus County, New York",272,42,(X),(X),0,11,0,10.4,0,11,0,10.4,0,11,-,**,6,6,2.2,2.3,0,11,0,100,0,11,0,10.4,0,11,-,**,0,11,0,10.4,0,11,-,**
0600000US3600917684,3600917684,"Conewango town, Cattaraugus County, New York",505,62,(X),(X),36,21,7.1,3.8,0,11,0,5.8,0,11,-,**,133,44,26.3,7.3,36,21,27.1,14.4,0,11,0,5.8,0,11,-,**,4,5,0.8,1,0,11,0,100
0600000US3600919840,3600919840,"Dayton town, Cattaraugus County, New York",716,69,(X),(X),11,16,1.5,2.2,4,8,0.6,1.1,0,11,0,100,32,25,4.5,3.4,11,16,34.4,42.3,0,11,0,4.1,0,11,-,**,3,4,0.4,0.6,0,11,0,100
0600000US3600922678,3600922678,"East Otto town, Cattaraugus County, New York",460,62,(X),(X),3,5,0.7,1.1,11,11,2.4,2.3,0,11,0,85.9,9,8,2,1.7,3,5,33.3,45.2,0,11,0,6.3,0,11,-,**,5,7,1.1,1.5,0,11,0,100
0600000US3600924031,3600924031,"Ellicottville town, Cattaraugus County, New York",596,75,(X),(X),0,11,0,4.9,7,8,1.2,1.4,0,11,0,100,25,22,4.2,3.7,0,11,0,57,0,11,0,4.9,0,11,-,**,4,5,0.7,0.9,0,11,0,100
0600000US3600925340,3600925340,"Farmersville town, Cattaraugus County, New York",474,57,(X),(X),3,5,0.6,1.1,3,4,0.6,0.9,0,11,0,100,11,14,2.3,2.8,3,5,27.3,57.4,4,5,0.8,1.1,0,11,0,100,0,11,0,6.1,0,11,-,**
0600000US3600927342,3600927342,"Franklinville town, Cattaraugus County, New York",1155,78,(X),(X),1,3,0.1,0.2,3,4,0.3,0.4,0,11,0,100,11,9,1,0.8,0,11,0,85.9,1,3,0.1,0.2,1,3,100,100,0,11,0,2.6,0,11,-,**
0600000US3600927441,3600927441,"Freedom town, Cattaraugus County, New York",887,69,(X),(X),6,9,0.7,1,11,12,1.2,1.4,0,11,0,85.9,45,29,5.1,3.3,6,9,13.3,19.5,0,11,0,3.3,0,11,-,**,7,9,0.8,1,0,11,0,100
0600000US3600930257,3600930257,"Great Valley town, Cattaraugus County, New York",892,99,(X),(X),0,11,0,3.3,0,11,0,3.3,0,11,-,**,9,9,1,1,0,11,0,95,5,7,0.6,0.8,0,11,0,100,5,7,0.6,0.8,0,11,0,100
0600000US3600934946,3600934946,"Hinsdale town, Cattaraugus County, New York",816,74,(X),(X),6,9,0.7,1.1,6,9,0.7,1.1,6,9,100,100,7,10,0.9,1.2,0,11,0,100,5,7,0.6,0.9,0,11,0,100,0,11,0,3.6,0,11,-,**
0600000US3600936123,3600936123,"Humphrey town, Cattaraugus County, New York",318,46,(X),(X),0,11,0,9,0,11,0,9,0,11,-,**,2,3,0.6,1.1,0,11,0,100,0,11,0,9,0,11,-,**,0,11,0,9,0,11,-,**
0600000US3600937825,3600937825,"Ischua town, Cattaraugus County, New York",371,44,(X),(X),8,12,2.2,3.1,19,14,5.1,3.8,8,12,42.1,42.3,6,6,1.6,1.7,0,11,0,100,0,11,0,7.8,0,11,-,**,0,11,0,7.8,0,11,-,**
0600000US3600941982,3600941982,"Leon town, Cattaraugus County, New York",397,62,(X),(X),55,34,13.9,7.8,4,6,1,1.4,0,11,0,100,93,44,23.4,9.2,55,34,59.1,23.5,0,11,0,7.3,0,11,-,**,0,11,0,7.3,0,11,-,**
0600000US3600942840,3600942840,"Little Valley town, Cattaraugus County, New York",725,78,(X),(X),6,9,0.8,1.3,13,12,1.8,1.6,6,9,46.2,42,12,14,1.7,1.9,0,11,0,82.3,0,11,0,4,0,11,-,**,0,11,0,4,0,11,-,**
0600000US3600943896,3600943896,"Lyndon town, Cattaraugus County, New York",285,45,(X),(X),0,11,0,10,5,5,1.8,1.8,0,11,0,100,0,11,0,10,0,11,-,**,0,11,0,10,0,11,-,**,0,11,0,10,0,11,-,**
0600000US3600944237,3600944237,"Machias town, Cattaraugus County, New York",829,107,(X),(X),0,11,0,3.6,0,11,0,3.6,0,11,-,**,8,10,1,1.2,0,11,0,100,0,11,0,3.6,0,11,-,**,5,8,0.6,1,0,11,0,100
0600000US3600945161,3600945161,"Mansfield town, Cattaraugus County, New York",330,43,(X),(X),6,6,1.8,1.7,3,4,0.9,1.3,0,11,0,100,17,11,5.2,3.3,6,6,35.3,29.8,0,11,0,8.7,0,11,-,**,0,11,0,8.7,0,11,-,**
0600000US3600949462,3600949462,"Napoli town, Cattaraugus County, New York",430,61,(X),(X),3,4,0.7,1,7,8,1.6,1.9,0,11,0,100,17,14,4,3.4,3,4,17.6,26.3,0,11,0,6.7,0,11,-,**,0,11,0,6.7,0,11,-,**
0600000US3600949880,3600949880,"New Albion town, Cattaraugus County, New York",821,73,(X),(X),9,14,1.1,1.7,4,6,0.5,0.7,0,11,0,100,14,15,1.7,1.8,9,14,64.3,49.7,0,11,0,3.6,0,11,-,**,0,11,0,3.6,0,11,-,**
0600000US3600954523,3600954523,"Oil Springs Reservation, Cattaraugus County, New York",0,11,(X),(X),0,11,-,**,0,11,-,**,0,11,-,**,0,11,-,**,0,11,-,**,0,11,-,**,0,11,-,**,0,11,-,**,0,11,-,**
0600000US3600954716,3600954716,"Olean city, Cattaraugus County, New York",6143,238,(X),(X),28,31,0.5,0.5,66,57,1.1,0.9,0,18,0,34.6,127,63,2.1,1,7,14,5.5,10.8,53,48,0.9,0.8,21,24,39.6,47.7,52,51,0.8,0.8,0,18,0,39.5
0600000US3600954727,3600954727,"Olean town, Cattaraugus County, New York",861,72,(X),(X),2,4,0.2,0.4,0,11,0,3.4,0,11,-,**,10,10,1.2,1.1,0,11,0,90.1,2,4,0.2,0.4,2,4,100,100,0,11,0,3.4,0,11,-,**
0600000US3600955783,3600955783,"Otto town, Cattaraugus County, New York",324,48,(X),(X),0,11,0,8.8,5,5,1.5,1.6,0,11,0,100,21,18,6.5,5.4,0,11,0,62.2,0,11,0,8.8,0,11,-,**,0,11,0,8.8,0,11,-,**
0600000US3600957298,3600957298,"Perrysburg town, Cattaraugus County, New York",648,65,(X),(X),3,6,0.5,0.9,7,7,1.1,1.1,0,11,0,100,21,18,3.2,2.8,3,6,14.3,26.8,0,11,0,4.5,0,11,-,**,2,5,0.3,0.8,0,11,0,100
0600000US3600957331,3600957331,"Persia town, Cattaraugus County, New York",1022,71,(X),(X),12,19,1.2,1.9,20,14,2,1.3,0,11,0,63.7,20,15,2,1.5,0,11,0,63.7,14,20,1.4,1.9,12,19,85.7,41.8,5,7,0.5,0.7,0,11,0,100
0600000US3600959509,3600959509,"Portville town, Cattaraugus County, New York",1539,110,(X),(X),9,13,0.6,0.8,18,18,1.2,1.2,9,13,50,50,47,46,3.1,3,0,11,0,41.6,0,11,0,1.9,0,11,-,**,0,11,0,1.9,0,11,-,**
0600000US3600960587,3600960587,"Randolph town, Cattaraugus County, New York",971,67,(X),(X),10,11,1,1.1,24,16,2.5,1.7,0,11,0,58.2,7,8,0.7,0.8,3,5,42.9,54.9,2,5,0.2,0.5,2,5,100,100,5,7,0.5,0.7,5,7,100,100
0600000US3600960950,3600960950,"Red House town, Cattaraugus County, New York",17,15,(X),(X),0,11,0,69.1,0,11,0,69.1,0,11,-,**,1,2,5.9,12.2,0,11,0,100,0,11,0,69.1,0,11,-,**,0,11,0,69.1,0,11,-,**
0600000US3600964749,3600964749,"Salamanca city, Cattaraugus County, New York",2213,104,(X),(X),42,18,1.9,0.8,81,26,3.7,1.1,30,15,37,14.4,33,17,1.5,0.8,4,7,12.1,18.5,3,4,0.1,0.2,2,4,66.7,66.7,74,28,3.3,1.3,6,6,8.1,8.8
0600000US3600964760,3600964760,"Salamanca town, Cattaraugus County, New York",203,30,(X),(X),0,11,0,13.7,5,5,2.5,2.5,0,11,0,100,2,3,1,1.6,0,11,0,100,0,11,0,13.7,0,11,-,**,2,4,1,1.8,0,11,0,100
0600000US3600969870,3600969870,"South Valley town, Cattaraugus County, New York",156,34,(X),(X),0,11,0,17.4,0,11,0,17.4,0,11,-,**,0,11,0,17.4,0,11,-,**,0,11,0,17.4,0,11,-,**,0,11,0,17.4,0,11,-,**
